"behavior","subdialogue_id","subdialogue_text"
"#0Talk-1st time","9000000","Mm, Unkindled, are we..."
"#0Talk-1st time","9000001","And fast on the trail of the Lords absconded?"
"#0Talk-1st time","9000002","Then these red eyes are for you."
"#0Talk-1st time","9000003","Use them to pillage embers,
and briefly heighten your strength, for your duty."
"#0Talk-1st time","9000004","What else are unkindled ashes good for?"
"#0Talk-1st time","9000005","..."
"#0Talk-2nd time","9000100","Pillage embers, for briefly heightened strength, for your duty."
"#0Talk-2nd time","9000101","What else are unkindled ashes good for?"
"#0Talk-2nd time","9000102","..."
"#0Talk-1st time after obtaning a Pale Tongue","9000200","Well, hasn't it been some time."
"#0Talk-1st time after obtaning a Pale Tongue","9000201","I'm Leonhard, the Ringfinger."
"#0Talk-1st time after obtaning a Pale Tongue","9000203","Remember me? I slipped you those red eyes some time ago."
"#0Talk-1st time after obtaning a Pale Tongue","9000204","You're making quite an effort of it.
So I thought you might like to know."
"#0Talk-1st time after obtaning a Pale Tongue","9000205","If you yearn for a proper red eye orb, one that is uncracked..."
"#0Talk-1st time after obtaning a Pale Tongue","9000206","Then kill the Darkwraith,
survivor of the land swallowed by darkness."
"#0Talk-1st time after obtaning a Pale Tongue","9000207","He has been a prisoner, for many ages.
In the deepest cell in all Lothric..."
"#0Talk-1st time after obtaning a Pale Tongue","9000209","I can see it in your eyes.
If you didn't invade, didn't pillage, whatever would you do?"
"#0Talk-1st time after obtaning a Pale Tongue","9000210","..."
"#0Talk-2nd time after obtaning a Pale Tongue","9000300","If you fancy a proper red eye orb, one uncracked, untainted..."
"#0Talk-2nd time after obtaning a Pale Tongue","9000301","Then kill the Darkwraith,
survivor of the land swallowed by darkness."
"#0Talk-2nd time after obtaning a Pale Tongue","9000302","He has been a prisoner, for many ages.
In the deepest cell in all Lothric..."
"#0Talk-2nd time after obtaning a Pale Tongue","9000304","I can see it in your eyes.
If you didn't invade, didn't pillage, whatever would you do?"
"#0Talk-2nd time after obtaning a Pale Tongue","9000305","..."
"#0Talk-1st time after obtaning a Red Eye Orb","9000500","Ah-hah, you've found a proper red eye..."
"#0Talk-1st time after obtaning a Red Eye Orb","9000501","Brilliant. I knew you were no ordinary man."
"#0Talk-1st time after obtaning a Red Eye Orb","9000502","Brilliant. I knew you were a dangerous woman."
"#0Talk-1st time after obtaning a Red Eye Orb","9000503","Now invade and pillage all you like."
"#0Talk-1st time after obtaning a Red Eye Orb","9000504","And if you grow weary of your duty,
you, too, may become a Finger."
"#0Talk-1st time after obtaning a Red Eye Orb","9000505","Come on, give yourself to Rosaria, of the Cathedral of the Deep."
"#0Talk-1st time after obtaning a Red Eye Orb","9000506","..."
"#0Talk-2nd time after obtaning a Red Eye Orb","9000600","Now invade and pillage all you like."
"#0Talk-2nd time after obtaning a Red Eye Orb","9000601","And if you grow weary of your duty,
you, too, may become a Finger."
"#0Talk-2nd time after obtaning a Red Eye Orb","9000602","Come on, give yourself to Rosaria of the Cathedral of the Deep."
"#0Talk-2nd time after obtaning a Red Eye Orb","9000603","..."
"#0Upon being attacked-1st time","9002103","What's wrong with you?"
"#0Upon being attacked-2nd time","9002104","Can you even hear me? If you can, cease this at once."
"#0Upon being attacked-2nd time","9002105","Before it's too late."
"#0Upon being attacked & made hostile","9002200","I see, I see, as clear as day."
"#0Upon being attacked & made hostile","9002201","You are a vile, starved beast."
"#0Upon being attacked & made hostile","9002202","Much too dangerous for her!"
"#0Upon killing the protagonist","9002400","You beast. You've trifled with the wrong knight."
"#0Upon killing the protagonist","9002401","..."
"#0Upon dying","9002302","Curses, I can't...die here..."
"#0Upon dying","9002303","My dear Goddess..."
"#0Talk-1st time","9000700","Ahh, so you've chosen to serve Rosaria after all."
"#0Talk-1st time","9000701","She will be pleased with me for finding her another Finger..."
"#0Talk-1st time","9000702","..."
"#0Talk-1st time","9000703","But be warned, my friend."
"#0Talk-1st time","9000704","Rosaria's Fingers need only fetch tongues for their mistress."
"#0Talk-1st time","9000705","Otherwise, we are free, unchained."
"#0Talk-1st time","9000706","Like Yellowfinger,
you can choose to believe that all Fingers share camaraderie."
"#0Talk-1st time","9000707","But do not force your romance upon the rest of us."
"#0Talk-1st time","9000708","..."
"#0Talk-2nd time","9000800","Rosaria's Fingers need only fetch tongues for their mistress."
"#0Talk-2nd time","9000801","Otherwise, we are free, unchained."
"#0Talk-2nd time","9000802","You are free to believe that all Fingers share camaraderie."
"#0Talk-2nd time","9000803","But do not force your romance upon the rest of us."
"#0Talk-2nd time","9000804","..."
"#0Upon killing the protagonist","9002500","You are unbecoming of a Finger."
"#0Upon killing the protagonist","9002501","Neither she, nor I, will have you, vile beast..."
"#0Upon dying","9001402","You rotten beasts, don't you ever forget..."
"#0Upon dying","9001403","Just what it is you're ravaging..."
"#0After invading him as a Dark Phantom","9001500","Well, well, never expected to see you here."
"#0After invading him as a Dark Phantom","9001501","Couldn't resist her any longer, in all her festering glory?"
"#0After invading him as a Dark Phantom","9001502","Felt sorry for the poor thing, in all her festering glory?"
"#0After invading him as a Dark Phantom","9001503","And now you want to ravage her soul, as well."
"#0After invading him as a Dark Phantom","9001504","I sowed the seeds. I'll prune the mess."
"#0After invading him as a Dark Phantom","9001505","I, Leonhard, swear so upon my vows to the goddess."
"#0After invading him as a Dark Phantom, after previously killed the protagonist","9001600","Well, well, back for more, are you?"
"#0After invading him as a Dark Phantom, after previously killed the protagonist","9001601","No ordinary man, are you. I knew it all along."
"#0After invading him as a Dark Phantom, after previously killed the protagonist","9001602","Vicious one, aren't you. I knew it all along."
"#0After invading him as a Dark Phantom, after previously killed the protagonist","9001603","And now you want to ravage her soul, as well."
"#0After invading him as a Dark Phantom, after previously killed the protagonist","9001604","You are no longer of use. You'll run free no more."
"#0After invading him as a Dark Phantom, after previously killed the protagonist","9001605","I, Leonhard, swear so upon my vows to the goddess."
"#0After his health has dropped below 60%","9001700","No one will despoil her soul."
"#0After his health has dropped below 60%","9001701","Certainly no beast wrapped in human skin!"
"#0After his health has dropped below 30%","9001800","What do you want with her soul?"
"#0After his health has dropped below 30%","9001801","Isn't flesh enough for a sick beast!"
"#0Upon killing the protagonist","9002000","Enough with you, my friend."
"#0Upon killing the protagonist","9002001","A knight of the goddess does not die."
"#0Upon dying","9002300","(No caption) Blessed Rosaira..."
"#0Upon dying","9000202","##Remember me? I slipped you those red eyes back in Lothric."
"#0Upon dying","9000208","##He has been a prisoner, for many ages.
Deep below the tower, just behind us now..."
"#0Upon dying","9000303","##He has been a prisoner, for many ages.
Deep below the tower, just behind us now..."
"#0Upon dying","9000400","##The stones on that bastard, to show his face round here..."
"#0Upon dying","9000401","##Though he does well to hide his claws..."
"#0Upon dying","9000402","##..."
"#0Upon dying","9000900","##That bastard, who does he think he is?"
"#0Upon dying","9000901","##He needs to be reminded. Of the grovelling pig that he is..."
"#0Upon dying","9001000","##Wait! Stay out of this!"
"#0Upon dying","9001001","##This pig deserves his death!"
"#0Upon dying","9001002","##If you dare question this knight's justice,
an enemy of mine you shall be!"
"#0Upon dying","9001100","##Drown in your trough! You filthy pig!"
"#0Upon dying","9001200","##Didn't I tell you?"
"#0Upon dying","9001201","##Rosaria's Fingers take no allegiance with one another."
"#0Upon dying","9001202","##And this pig fully deserved his death."
"#0Upon dying","9001203","##At least, as far as I see it."
"#0Upon dying","9001204","##Isn't that enough for you?"
"#0Upon dying","9001205","##(laugh)"
"#0Upon dying","9001300","##This pig fully deserved his death."
"#0Upon dying","9001301","##At least, as far as I see it."
"#0Upon dying","9001302","##Isn't that enough for you?"
"#0Upon dying","9001303","##..."
"#0Upon dying","9001400","##..."
"#0Upon dying","9001900","##..."
"#0Upon dying","9001902","##You are a vile, rapacious beast..."
"#0Upon dying","9001903","##I should have never let you near her..."
"#0Upon dying","9002100","##..."
"#0Upon dying","9002101","##..."
