"behavior","subdialogue_id","subdialogue_text"
"#0Talk-1st time","54000000","Hmm, well, there's nothing forlorn about you."
"#0Talk-1st time","54000001","You must be the other Ash, I suppose?"
"#0Choose ""I am not Ash"" to the query","54000400","Well, that's a rotten shame."
"#0Choose ""I am not Ash"" to the query","54000401","I've been very patient, you see."
"#0Choose ""I am not Ash"" to the query","54000402","The tales tell of two Ashes, who'll burn Ariandel away."
"#0Choose ""I am not Ash"" to the query","54000403","And we need only one more..."
"#0Talk-1st time after choosing ""I am not Ash"" to the query","54000500","Ahh, yes, well..."
"#0Talk-1st time after choosing ""I am not Ash"" to the query","54000501","I was hoping you might be the other Ash, you see..."
"#0Choose ""I am Ash"" to the query","54000100","Ohh, ohh, finally, you've come!"
"#0Choose ""I am Ash"" to the query","54000101","Oh wondrous Ash, grant us our wish."
"#0Choose ""I am Ash"" to the query","54000102","Make the tales true, and burn this world away."
"#0Choose ""I am Ash"" to the query","54000103","My Lady must see flame, and you have only to show her."
"#0Choose ""I am Ash"" to the query","54000104","You are Ash, are you not? Is it not fire that you seek?"
"#0Talk-2nd time after choosing ""I am Ash"" to the query","54000200","Surely you've seen. The rot that afflicts our world."
"#0Talk-2nd time after choosing ""I am Ash"" to the query","54000201","But that witch fooled the good Father, and buried the flame."
"#0Talk-2nd time after choosing ""I am Ash"" to the query","54000202","After we had all made up our minds, too."
"#0Talk-2nd time after choosing ""I am Ash"" to the query","54000203","So, please, grant us one wish."
"#0Talk-2nd time after choosing ""I am Ash"" to the query","54000204","Make the tales true, and burn this world away."
"#0Talk-2nd time after choosing ""I am Ash"" to the query","54000205","My Lady must see flame, and you have only to show her."
"#0Talk-3rd time after choosing ""I am Ash"" to the query","54000300","Oh, please, it must be you."
"#0Talk-3rd time after choosing ""I am Ash"" to the query","54000301","I'm so terribly frightened, of timidly rotting away..."
"#0Talk-3rd time after choosing ""I am Ash"" to the query","54000302","Like those... Like those fools on the outside."
"#0Talk-1st time after defeating Blackflame Friede","54000600","Ohhh, my, thank you."
"#0Talk-1st time after defeating Blackflame Friede","54000601","I can hear the crackling from here."
"#0Talk-1st time after defeating Blackflame Friede","54000602","The sound of my home, the painting of Ariandel, burning away..."
"#0Talk-2nd time after defeating Blackflame Friede","54000700","When the world rots, we set it afire. For the sake of the next world."
"#0Talk-2nd time after defeating Blackflame Friede","54000701","It's the one thing we do right, unlike those fools on the outside."
"#0Talk-2nd time after defeating Blackflame Friede","54000702","..."
"#0Upon being attacked-1st time","54000801","..."
"#0Upon being attacked-2nd time","54000802","..."
"#0Upon being attacked-3rd time","54000803","..."
"#0Upon being attacked-4th time","54000804","..."
"#0Upon dying","54001000","Yes, of course, as a burner of worlds should..."
"#0Upon dying","54001001","Set fire to Ariandel..."
"#0Upon dying","54001002","Set fire to the rot..."
