"behavior","subdialogue_id","subdialogue_text"
"#0Talk-1st time","74000000","..."
"#0Talk-2nd time","74000100","Speak thee the name of God."
"#0Talk-2nd time","74000101","Thine own god, if thou canst recall."
"#0Choose ""I do not know"" to either the 1st or 2nd query","74000700","As I thought. Such memories were lost by thy kind, long ago."
"#0Choose ""I do not know"" to either the 1st or 2nd query","74000701","And so it is ye...who yearn for darkness."
"#0Talk-After choosing ""I do not know"" to either the 1st or 2nd query","74000800","Give thy memory a nudge."
"#0Talk-After choosing ""I do not know"" to either the 1st or 2nd query","74000801","And name thee thy God."
"#0Choose ""Gwyn"" to either the 1st or 2nd query","74000200","Ahh, then thou'st not forgotten."
"#0Choose ""Gwyn"" to either the 1st or 2nd query","74000201","Perhaps 'tis why we may converse."
"#0Choose ""Gwyn"" to either the 1st or 2nd query","74000202","I am known as Shira,
servant to the Princess Filianore, matriarch of the church."
"#0Choose ""Gwyn"" to either the 1st or 2nd query","74000203","They who are ken to God's name
are surely ken to the terrors of the dark."
"#0Choose ""Gwyn"" to either the 1st or 2nd query","74000204","Please, I bid thee take not from the Princess her peace or rest."
"#0Choose ""Gwyn"" to either the 1st or 2nd query","74000205","As the fire waneth, does she lie by the dark, all for the sake of Man."
"#0Talk-2nd time after choosing ""Gwyn"" to either the 1st or 2nd query","74000300","Thou'st a kind heart."
"#0Talk-2nd time after choosing ""Gwyn"" to either the 1st or 2nd query","74000301","To speak to a captive such as I."
"#0Talk-2nd time after choosing ""Gwyn"" to either the 1st or 2nd query","74000302","It is no surprise thou rememb'rest our God."
"#0Talk-3rd time after choosing ""Gwyn"" to either the 1st or 2nd query","74000400","May I ask thee a kindness?"
"#0Talk-3rd time after choosing ""Gwyn"" to either the 1st or 2nd query","74000401","Perhaps thou'st beheld the lone dragon
that inhabiteth this city?"
"#0Talk-3rd time after choosing ""Gwyn"" to either the 1st or 2nd query","74000402","Midir is his name, and the Archdragons are his forebears."
"#0Talk-3rd time after choosing ""Gwyn"" to either the 1st or 2nd query","74000403","He once railed against the dark, but was by dark afflicted.
Now here, returned, he remaineth."
"#0Talk-3rd time after choosing ""Gwyn"" to either the 1st or 2nd query","74000404","To watch over the sleeping Princess, true to the old accord."
"#0Talk-3rd time after choosing ""Gwyn"" to either the 1st or 2nd query","74000405","...And yet, I would have thee put the dragon to rest."
"#0Talk-3rd time after choosing ""Gwyn"" to either the 1st or 2nd query","74000406","Afore the dark consumeth him, and his vows are forgot."
"#0Choose ""Refuse"" to the 3rd query, or ""No, it's nothing"" to the 4th","74000900","Very well. Then hasten on thy journey."
"#0Choose ""Refuse"" to the 3rd query, or ""No, it's nothing"" to the 4th","74000901","Only, disturb not the sleeping Princess."
"#0Choose ""Refuse"" to the 3rd query, or ""No, it's nothing"" to the 4th","74000902","As the fire waneth, does she lie by the dark, all for the sake of Man."
"#0Talk-After choosing ""Refuse"" to the 3rd query, or ""No, it's nothing"" to the 4th","74001000","Carest thou to speak thy peace?"
"#0Talk-After choosing ""Refuse"" to the 3rd query, or ""No, it's nothing"" to the 4th","74001001","Hast thou mine entreaty reconsidered?"
"#0Choose ""Accept the request"" to either the 3rd or 4th query","74000500","I offer my sincerest gratitude, thou who art ken to God's name."
"#0Choose ""Accept the request"" to either the 3rd or 4th query","74000501","Please, take this."
"#0Choose ""Accept the request"" to either the 3rd or 4th query","74000502","I have asked a thing most terrible of thee.
May this token of thanks be of aid."
"#0Talk-After choosing ""Accept the request"" to either the 3rd or 4th query","74000600","I beg of thee, put the great dragon to rest."
"#0Talk-After choosing ""Accept the request"" to either the 3rd or 4th query","74000601","Afore the dark consumeth him, and his vows are forgot."
"#0Talk-1st time after initially defeating Darkeater Midir on the bridge","74001100","So, Midir hath into the chasm fallen."
"#0Talk-1st time after initially defeating Darkeater Midir on the bridge","74001101","Still, his voice I hear. The dark grieveth him yet."
"#0Talk-1st time after initially defeating Darkeater Midir on the bridge","74001102","I prithee, put him to rest."
"#0Talk-1st time after initially defeating Darkeater Midir on the bridge","74001103","Afore the dark consumeth him, and his vows are forgot."
"#0Talk-2nd time after initially defeating Darkeater Midir on the bridge","74001200","Just afore the church of the Princess standeth a tower,
honouring ancient knights."
"#0Talk-2nd time after initially defeating Darkeater Midir on the bridge","74001201","There lieth a small shrine,
behind the sculpted knight which beareth no arms."
"#0Talk-2nd time after initially defeating Darkeater Midir on the bridge","74001202","Tis from there one may descend the chasm of darkness."
"#0Talk-2nd time after initially defeating Darkeater Midir on the bridge","74001203","I prithee, put the great dragon to rest."
"#0Talk-3rd time after initially defeating Darkeater Midir on the bridge","74001300","I know, I have asked of thee a thing most terrible."
"#0Talk-3rd time after initially defeating Darkeater Midir on the bridge","74001301","Forgive me, thou wert but mine only hope."
