"behavior","subdialogue_id","subdialogue_text"
"#0Talk-1st time","23000000","Ahh, the wait has been long, Unkindled One."
"#0Talk-1st time","23000001","I am Emma, High Priestess of Lothric Castle."
"#0Talk-1st time","23000002","Allow me to speak frankly."
"#0Talk-1st time","23000003","You will not find the Lords of Cinder here."
"#0Talk-1st time","23000004","They have left, gone."
"#0Talk-1st time","23000005","To their churning homes, converging at the base of this castle."
"#0Talk-1st time","23000006","Head to the bottom of the High Wall."
"#0Talk-1st time","23000007","Forge on through the great gate, and raise this banner to proceed."
"#0Talk-2nd time","23000500","This farewell gift is for you."
"#0Talk-2nd time","23000501","It is the insignia of an old covenant."
"#0Talk-2nd time","23000502","If you fear tresspassers, dark spirits drawn by the embers."
"#0Talk-2nd time","23000503","Then etch this upon your heart."
"#0Talk-2nd time","23000504","And the old concord will beckon
noble Blue Sentinels to hunt these foul spirits."
"#0Talk-3rd time","23000100","Unkindled One. Head to the High Wall's base."
"#0Talk-3rd time","23000101","Go through the great gate, and raise this banner to proceed."
"#0Talk-3rd time","23000102","But beware. The dog keeps a close eye on things."
"#0Talk-3rd time","23000103","The vile watchdog of the Boreal Valley."
"#0Talk-After defeating Vordt of the Boreal Valley","23000200","What is wrong, Unkindled One?"
"#0Talk-After defeating Vordt of the Boreal Valley","23000201","Are you not a Lordseeker?
Head to the base of the High Wall and seek the Lords of Cinder."
"#0Talk-After defeating Vordt of the Boreal Valley","23000202","Is this not the calling of your kind, since ages past?"
"#0After defeating 3 Lords of Cinder","23000300","Ahh, Unkindled One."
"#0After defeating 3 Lords of Cinder","23000301","The fire fades, and awaits its one last Lord."
"#0After defeating 3 Lords of Cinder","23000302","Please, take this..."
"#0After defeating 3 Lords of Cinder","23000303","Prince Lothric is in your hands..."
"#0After defeating 3 Lords of Cinder","23000304","Please, save his soul."
"#0Talk-After defeating 3 Lords of Cinder & being teleported to the Lothric Castle","23000303","Prince Lothric is in your hands..."
"#0Talk-After defeating 3 Lords of Cinder & being teleported to the Lothric Castle","23000304","Please, save his soul."
"#0Talk-After defeating 3 Lords of Cinder & being teleported to the Lothric Castle","23000305","Tell him what he must be. A Lord..."
"#0Upon being attacked-1st time","23000603","What on earth?"
"#0Upon being attacked-2nd time","23000604","Whatever is this about?"
"#0Upon dying","23000400","..."
"#0Upon dying","23000402","A Lord, he must be..."
"#0Upon dying","23000403","My dear Prince...Lothric..."
"#0Upon dying","23000600","##..."
"#0Upon dying","23000601","##..."
