"behavior","subdialogue_id","subdialogue_text"
"#0Talk-1st time","13000000","Well, this is unexpected. I don't often have visitors."
"#0Talk-1st time","13000001","What do you want?"
"#0Talk-1st time","13000002","This is my study that you've happened upon."
"#0Talk-1st time","13000003","If you haven't any business, I've reading to get back to."
"#0Choose ""Nothing"" to either the 1st or 2nd query","13000900","Yes, I see."
"#0Choose ""Nothing"" to either the 1st or 2nd query","13000901","On your way, then."
"#0Choose ""Nothing"" to either the 1st or 2nd query","13000902","This is my study, and I've plenty of reading to do."
"#0Talk-After choosing ""Nothing"" to either the 1st or 2nd query","13001000","Oh, enough of you, already."
"#0Talk-After choosing ""Nothing"" to either the 1st or 2nd query","13001001","Do you have business with me?"
"#0Choose ""Ask to learn sorceries"" with 9 Intelligence or less","13000100","How intriguing."
"#0Choose ""Ask to learn sorceries"" with 9 Intelligence or less","13000600","You'd better not. Sorcery is not for everyone."
"#0Choose ""Ask to learn sorceries"" with 9 Intelligence or less","13000601","And should never be forced."
"#0Choose ""Ask to learn sorceries"" with 9 Intelligence or less","13000602","You have your own methods. Sorcery need not be one of them."
"#0Choose ""Ask to learn sorceries"" with 9 Intelligence or less","13000603","Don't let it bother you."
"#0Choose ""Ask to learn sorceries"" with 9 Intelligence or less","13000604","Be on your way, then."
"#0Choose ""Ask to learn sorceries"" with 9 Intelligence or less","13000605","You're Unkindled. Shouldn't you get back to your duty?"
"#0Choose ""Ask to learn sorceries"" with 9 Intelligence or less","13000700","Oh, I thought you'd already given up."
"#0Choose ""Ask to learn sorceries"" with 9 Intelligence or less","13000701","Well, nothing has changed. You're not inclined for sorcery."
"#0Choose ""Ask to learn sorceries"" with 9 Intelligence or less","13000702","It is either a natural fit, or no fit at all."
"#0Choose ""Ask to learn sorceries"" with 9 Intelligence or less","13000703","Be on your way, then."
"#0Choose ""Ask to learn sorceries"" with 9 Intelligence or less","13000704","You're Unkindled. Shouldn't you get back to your duty?"
"#0Choose ""Ask to learn sorceries"" after returned with 10 Intelligence or more","13000800","Well, well... There's something different about you, isn't there?"
"#0Choose ""Ask to learn sorceries"" after returned with 10 Intelligence or more","13000200","Very well."
"#0Choose ""Ask to learn sorceries"" after returned with 10 Intelligence or more","13000201","Indeed, I am a sorcerer. With plenty to share."
"#0Choose ""Ask to learn sorceries"" after returned with 10 Intelligence or more","13000202","However..."
